problem_name;m-EDD;m-FIFO;p-EDD;p-FIFO;x-WFIFO
w2018-04-08-m4;4.0;4.0;48.0;48.0;4.0
w2018-04-15-m4;7.0;7.0;49.0;49.0;6.0
w2018-05-06-m4;5.0;5.0;48.0;48.0;3.0
w2018-06-17-m4;8.0;8.0;48.0;48.0;6.0
w2018-07-01-m4;4.0;4.0;37.0;37.0;2.0
w2018-07-08-m4;7.0;7.0;48.0;48.0;5.0
w2018-07-22-m4;7.0;7.0;48.0;48.0;5.0
w2018-07-29-m4;9.0;9.0;49.0;49.0;7.0
w2018-08-05-m4;8.0;8.0;48.0;48.0;6.0
w2018-08-12-m4;7.0;7.0;48.0;48.0;5.0
w2018-08-19-m4;6.0;6.0;48.0;48.0;4.0
w2018-09-02-m4;7.0;7.0;48.0;48.0;5.0
w2020-10-04-m4;1.0;1.0;48.0;48.0;1.0
w2020-10-11-m4;8.0;19.0;48.0;48.0;11.0
w2020-10-18-m4;2.0;2.0;46.0;46.0;0.0
w2020-10-25-m4;1.0;1.0;46.0;46.0;0.0
w2020-11-08-m4;3.0;3.0;48.0;48.0;1.0
w2020-11-15-m4;3.0;3.0;46.0;46.0;1.0
w2020-11-22-m4;3.0;3.0;48.0;48.0;1.0
w2020-11-29-m4;3.0;3.0;48.0;48.0;1.0
w2020-12-06-m4;6.0;6.0;48.0;48.0;4.0
w2020-12-13-m4;3.0;3.0;48.0;48.0;3.0
w2020-12-20-m4;14.0;26.0;48.0;48.0;16.0
w2020-12-27-m4;4.0;4.0;48.0;48.0;3.0
